
Time,PID,Tickets,Pass,Stride,Runtime
104,1,8,1792,128,14
104,2,8,4224,128,19
104,5,1,7772,1024,2
104,4,8,7424,128,25
104,6,2,7784,512,3
104,7,4,7541,256,4
104,8,8,7299,128,5
104,9,16,7313,64,9
104,10,32,7325,32,17
104,11,32,7302,32,16
104,12,32,7310,32,16
104,13,32,7316,32,16
104,14,32,7321,32,16
1488,1,8,1792,128,14
1488,2,8,4224,128,19
1488,5,1,14940,1024,9
1488,4,8,14848,128,83
1488,6,2,14952,512,17
1488,7,4,14965,256,33
1488,8,8,14723,128,63
1488,9,16,14737,64,125
1488,10,32,14749,32,249
1488,11,32,14726,32,248
1488,12,32,14734,32,248
1488,13,32,14740,32,248
1488,14,32,14745,32,248
3612,1,8,1792,128,14
3612,2,8,4224,128,19
3612,5,1,26204,1024,20
3612,4,8,26240,128,172
3612,6,2,26216,512,39
3612,7,4,26229,256,77
3612,8,8,26115,128,152
3612,9,16,26129,64,303
3612,10,32,26141,32,605
3612,11,32,26118,32,604
3612,12,32,26126,32,604
3612,13,32,26132,32,604
3612,14,32,26137,32,604
5548,1,8,1792,128,14
5548,2,8,4224,128,19
5548,5,1,37468,1024,31
5548,4,8,36608,128,253
5548,6,2,36968,512,60
5548,7,4,36725,256,118
5548,8,8,36483,128,233
5548,9,16,36497,64,465
5548,10,32,36509,32,929
5548,11,32,36486,32,928
5548,12,32,36494,32,928
5548,13,32,36500,32,928
5548,14,32,36505,32,928
7553,1,8,1792,128,14
7553,2,8,4224,128,19
7553,5,1,47708,1024,41
7553,4,8,47360,128,337
7553,6,2,47720,512,81
7553,7,4,47477,256,160
7553,8,8,47235,128,317
7553,9,16,47249,64,633
7553,10,32,47261,32,1265
7553,11,32,47238,32,1264
7553,12,32,47246,32,1264
7553,13,32,47252,32,1264
7553,14,32,47257,32,1264
9486,1,8,1792,128,14
9486,2,8,4224,128,19
9486,5,1,57948,1024,51
9486,4,8,57728,128,418
9486,6,2,57960,512,101
9486,7,4,57717,256,200
9486,8,8,57603,128,398
9486,9,16,57617,64,795
9486,10,32,57629,32,1589
9486,11,32,57606,32,1588
9486,12,32,57614,32,1588
9486,13,32,57620,32,1588
9486,14,32,57625,32,1588
11492,1,8,1792,128,14
11492,2,8,4224,128,19
11492,5,1,69212,1024,62
11492,4,8,68480,128,502
11492,6,2,68712,512,122
11492,7,4,68469,256,242
11492,8,8,68355,128,482
11492,9,16,68369,64,963
11492,10,32,68381,32,1925
11492,11,32,68358,32,1924
11492,12,32,68366,32,1924
11492,13,32,68372,32,1924
11492,14,32,68377,32,1924
13544,1,8,1792,128,14
13544,2,8,4224,128,19
13544,5,1,79452,1024,72
13544,4,8,79488,128,588
13544,6,2,79464,512,143
13544,7,4,79477,256,285
13544,8,8,79363,128,568
13544,9,16,79377,64,1135
13544,10,32,79389,32,2269
13544,11,32,79366,32,2268
13544,12,32,79374,32,2268
13544,13,32,79380,32,2268
13544,14,32,79385,32,2268
15480,1,8,1792,128,14
15480,2,8,4224,128,19
15480,5,1,90716,1024,83
15480,4,8,89856,128,669
15480,6,2,90216,512,164
15480,7,4,89973,256,326
15480,8,8,89731,128,649
15480,9,16,89745,64,1297
15480,10,32,89757,32,2593
15480,11,32,89734,32,2592
15480,12,32,89742,32,2592
15480,13,32,89748,32,2592
15480,14,32,89753,32,2592
17532,1,8,1792,128,14
17532,2,8,4224,128,19
17532,5,1,100956,1024,93
17532,4,8,100864,128,755
17532,6,2,100968,512,185
17532,7,4,100981,256,369
17532,8,8,100739,128,735
17532,9,16,100753,64,1469
17532,10,32,100765,32,2937
17532,11,32,100742,32,2936
17532,12,32,100750,32,2936
17532,13,32,100756,32,2936
17532,14,32,100761,32,2936
19586,1,8,1792,128,14
19586,2,8,4224,128,19
19586,5,1,112220,1024,104
19586,4,8,111872,128,841
19586,6,2,112232,512,207
19586,7,4,111989,256,412
19586,8,8,111747,128,821
19586,9,16,111761,64,1641
19586,10,32,111773,32,3281
19586,11,32,111750,32,3280
19586,12,32,111758,32,3280
19586,13,32,111764,32,3280
19586,14,32,111769,32,3280
21519,1,8,1792,128,14
21519,2,8,4224,128,19
21519,5,1,122460,1024,114
21519,4,8,122240,128,922
21519,6,2,122472,512,227
21519,7,4,122229,256,452
21519,8,8,122115,128,902
21519,9,16,122129,64,1803
21519,10,32,122141,32,3605
21519,11,32,122118,32,3604
21519,12,32,122126,32,3604
21519,13,32,122132,32,3604
21519,14,32,122137,32,3604
23572,1,8,1792,128,14
23572,2,8,4224,128,19
23572,5,1,133724,1024,125
23572,4,8,133248,128,1008
23572,6,2,133224,512,248
23572,7,4,133237,256,495
23572,8,8,133123,128,988
23572,9,16,133137,64,1975
23572,10,32,133149,32,3949
23572,11,32,133126,32,3948
23572,12,32,133134,32,3948
23572,13,32,133140,32,3948
23572,14,32,133145,32,3948
25507,1,8,1792,128,14
25507,2,8,4224,128,19
25507,5,1,143964,1024,135
25507,4,8,143616,128,1089
25507,6,2,143976,512,269
25507,7,4,143733,256,536
25507,8,8,143491,128,1069
25507,9,16,143505,64,2137
25507,10,32,143517,32,4273
25507,11,32,143494,32,4272
25507,12,32,143502,32,4272
25507,13,32,143508,32,4272
25507,14,32,143513,32,4272
27560,1,8,1792,128,14
27560,2,8,4224,128,19
27560,5,1,155228,1024,146
27560,4,8,154624,128,1175
27560,6,2,154728,512,290
27560,7,4,154741,256,579
27560,8,8,154499,128,1155
27560,9,16,154513,64,2309
27560,10,32,154525,32,4617
27560,11,32,154502,32,4616
27560,12,32,154510,32,4616
27560,13,32,154516,32,4616
27560,14,32,154521,32,4616
29614,1,8,1792,128,14
29614,2,8,4224,128,19
29614,5,1,166492,1024,157
29614,4,8,165632,128,1261
29614,6,2,165992,512,312
29614,7,4,165749,256,622
29614,8,8,165507,128,1241
29614,9,16,165521,64,2481
29614,10,32,165533,32,4961
29614,11,32,165510,32,4960
29614,12,32,165518,32,4960
29614,13,32,165524,32,4960
29614,14,32,165529,32,4960
31547,1,8,1792,128,14
31547,2,8,4224,128,19
31547,5,1,176732,1024,167
31547,4,8,176000,128,1342
31547,6,2,176232,512,332
31547,7,4,175989,256,662
31547,8,8,175875,128,1322
31547,9,16,175889,64,2643
31547,10,32,175901,32,5285
31547,11,32,175878,32,5284
31547,12,32,175886,32,5284
31547,13,32,175892,32,5284
31547,14,32,175897,32,5284
33599,1,8,1792,128,14
33599,2,8,4224,128,19
33599,5,1,186972,1024,177
33599,4,8,187008,128,1428
33599,6,2,186984,512,353
33599,7,4,186997,256,705
33599,8,8,186883,128,1408
33599,9,16,186897,64,2815
33599,10,32,186909,32,5629
33599,11,32,186886,32,5628
33599,12,32,186894,32,5628
33599,13,32,186900,32,5628
33599,14,32,186905,32,5628
35653,1,8,1792,128,14
35653,2,8,4224,128,19
35653,5,1,198236,1024,188
35653,4,8,198016,128,1514
35653,6,2,198248,512,375
35653,7,4,198005,256,748
35653,8,8,197891,128,1494
35653,9,16,197905,64,2987
35653,10,32,197917,32,5973
35653,11,32,197894,32,5972
35653,12,32,197902,32,5972
35653,13,32,197908,32,5972
35653,14,32,197913,32,5972
37587,1,8,1792,128,14
37587,2,8,4224,128,19
37587,5,1,208476,1024,198
37587,4,8,208384,128,1595
37587,6,2,208488,512,395
37587,7,4,208501,256,789
37587,8,8,208259,128,1575
37587,9,16,208273,64,3149
37587,10,32,208285,32,6297
37587,11,32,208262,32,6296
37587,12,32,208270,32,6296
37587,13,32,208276,32,6296
37587,14,32,208281,32,6296
39737,1,8,1792,128,14
39737,2,8,4224,128,19
39737,5,1,220764,1024,210
39737,4,8,219904,128,1685
39737,6,2,220264,512,418
39737,7,4,220021,256,834
39737,8,8,219779,128,1665
39737,9,16,219793,64,3329
39737,10,32,219805,32,6657
39737,11,32,219782,32,6656
39737,12,32,219790,32,6656
39737,13,32,219796,32,6656
39737,14,32,219801,32,6656
39737,15,8,213801,128,0
39737,16,8,213801,128,0
39737,17,8,213801,128,0
39737,18,8,213801,128,0
39737,19,8,213801,128,0
39737,20,8,213801,128,0
44626,1,8,1792,128,14
44626,2,8,4224,128,19
44626,5,1,236124,1024,225
44626,4,8,235776,128,1809
44626,6,2,236136,512,449
44626,7,4,235893,256,896
44626,8,8,235651,128,1789
44626,9,16,235665,64,3577
44626,10,32,235677,32,7153
44626,11,32,235654,32,7152
44626,12,32,235662,32,7152
44626,13,32,235668,32,7152
44626,14,32,235673,32,7152
44626,15,32,235661,32,684
44626,16,32,235664,32,684
44626,17,8,235699,128,172
44626,18,2,235830,512,44
44626,19,8,235705,128,172
44626,20,8,235708,128,172
48945,1,8,1792,128,14
48945,2,8,4224,128,19
48945,5,1,251484,1024,240
48945,4,8,251520,128,1932
48945,6,2,251496,512,479
48945,7,4,251509,256,957
48945,8,8,251395,128,1912
48945,9,16,251409,64,3823
48945,10,32,251421,32,7645
48945,11,32,251398,32,7644
48945,12,32,251406,32,7644
48945,13,32,251412,32,7644
48945,14,32,251417,32,7644
48945,15,32,251405,32,1176
48945,16,32,251408,32,1176
48945,17,8,251443,128,295
48945,18,2,251702,512,75
48945,19,8,251449,128,295
48945,20,8,251452,128,295
53267,1,8,1792,128,14
53267,2,8,4224,128,19
53267,5,1,267868,1024,256
53267,4,8,267264,128,2055
53267,6,2,267368,512,510
53267,7,4,267381,256,1019
53267,8,8,267139,128,2035
53267,9,16,267153,64,4069
53267,10,32,267165,32,8137
53267,11,32,267142,32,8136
53267,12,32,267150,32,8136
53267,13,32,267156,32,8136
53267,14,32,267161,32,8136
53267,15,32,267149,32,1668
53267,16,32,267152,32,1668
53267,17,8,267187,128,418
53267,18,2,267574,512,106
53267,19,8,267193,128,418
53267,20,8,267196,128,418
57586,1,8,1792,128,14
57586,2,8,4224,128,19
57586,5,1,283228,1024,271
57586,4,8,283008,128,2178
57586,6,2,283240,512,541
57586,7,4,282997,256,1080
57586,8,8,282883,128,2158
57586,9,16,282897,64,4315
57586,10,32,282909,32,8629
57586,11,32,282886,32,8628
57586,12,32,282894,32,8628
57586,13,32,282900,32,8628
57586,14,32,282905,32,8628
57586,15,32,282893,32,2160
57586,16,32,282896,32,2160
57586,17,8,282931,128,541
57586,18,2,282934,512,136
57586,19,8,282937,128,541
57586,20,8,282940,128,541
61908,1,8,1792,128,14
61908,2,8,4224,128,19
61908,5,1,299612,1024,287
61908,4,8,298752,128,2301
61908,6,2,299112,512,572
61908,7,4,298869,256,1142
61908,8,8,298627,128,2281
61908,9,16,298641,64,4561
61908,10,32,298653,32,9121
61908,11,32,298630,32,9120
61908,12,32,298638,32,9120
61908,13,32,298644,32,9120
61908,14,32,298649,32,9120
61908,15,32,298637,32,2652
61908,16,32,298640,32,2652
61908,17,8,298675,128,664
61908,18,2,298806,512,167
61908,19,8,298681,128,664
61908,20,8,298684,128,664
