Time,PID,Tickets,Pass,Stride,Runtime
118,1,8,1792,128,14
118,2,8,4224,128,19
118,5,1,7820,1024,2
118,4,8,7552,128,25
118,6,2,7832,512,3
118,7,4,7589,256,4
118,8,8,7475,128,6
118,9,16,7425,64,10
118,10,32,7437,32,19
118,11,32,7446,32,19
118,12,32,7454,32,19
118,13,32,7428,32,18
118,14,32,7433,32,18
1430,1,8,1792,128,14
1430,2,8,4224,128,19
1430,5,1,14988,1024,9
1430,4,8,14592,128,80
1430,6,2,14488,512,16
1430,7,4,14501,256,31
1430,8,8,14515,128,61
1430,9,16,14465,64,120
1430,10,32,14477,32,239
1430,11,32,14486,32,239
1430,12,32,14494,32,239
1430,13,32,14468,32,238
1430,14,32,14473,32,238
2839,1,8,1792,128,14
2839,2,8,4224,128,19
2839,5,1,22156,1024,16
2839,4,8,22144,128,139
2839,6,2,22168,512,31
2839,7,4,22181,256,61
2839,8,8,22067,128,120
2839,9,16,22017,64,238
2839,10,32,22029,32,475
2839,11,32,22038,32,475
2839,12,32,22046,32,475
2839,13,32,22020,32,474
2839,14,32,22025,32,474
4152,1,8,1792,128,14
4152,2,8,4224,128,19
4152,5,1,29324,1024,23
4152,4,8,29184,128,194
4152,6,2,29336,512,45
4152,7,4,29093,256,88
4152,8,8,29107,128,175
4152,9,16,29057,64,348
4152,10,32,29069,32,695
4152,11,32,29078,32,695
4152,12,32,29086,32,695
4152,13,32,29060,32,694
4152,14,32,29065,32,694
5489,1,8,1792,128,14
5489,2,8,4224,128,19
5489,5,1,36492,1024,30
5489,4,8,36352,128,250
5489,6,2,36504,512,59
5489,7,4,36261,256,116
5489,8,8,36275,128,231
5489,9,16,36225,64,460
5489,10,32,36237,32,919
5489,11,32,36246,32,919
5489,12,32,36254,32,919
5489,13,32,36228,32,918
5489,14,32,36233,32,918
6803,1,8,1792,128,14
6803,2,8,4224,128,19
6803,5,1,43660,1024,37
6803,4,8,43392,128,305
6803,6,2,43672,512,73
6803,7,4,43429,256,144
6803,8,8,43315,128,286
6803,9,16,43265,64,570
6803,10,32,43277,32,1139
6803,11,32,43286,32,1139
6803,12,32,43294,32,1139
6803,13,32,43268,32,1138
6803,14,32,43273,32,1138
8187,1,8,1792,128,14
8187,2,8,4224,128,19
8187,5,1,50828,1024,44
8187,4,8,50816,128,363
