Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,256,128,1
100,2,8,640,128,1
100,6,1,1664,1024,1
100,5,8,1073,128,1
100,7,2,1678,512,2
100,8,4,1437,256,3
100,9,8,1325,128,5
100,10,16,1277,64,9
100,11,32,1227,32,16
100,12,32,1237,32,16
100,13,32,1245,32,16
100,14,32,1252,32,16
100,15,32,1258,32,16
228,1,8,256,128,1
228,2,8,640,128,1
228,6,1,2688,1024,2
228,5,8,1323,128,1
228,7,2,2190,512,3
228,8,4,1949,256,5
228,9,8,1965,128,10
228,10,16,1981,64,20
228,11,32,1931,32,38
228,12,32,1941,32,38
228,13,32,1949,32,38
228,14,32,1924,32,37
228,15,32,1930,32,37
362,1,8,256,128,1
362,2,8,640,128,1
362,6,1,2688,1024,2
362,5,8,1573,128,1
362,7,2,2702,512,4
362,8,4,2717,256,8
362,9,8,2733,128,16
362,10,16,2685,64,31
362,11,32,2667,32,61
362,12,32,2645,32,60
362,13,32,2653,32,60
362,14,32,2660,32,60
362,15,32,2666,32,60
490,1,8,256,128,1
490,2,8,640,128,1
490,6,1,3712,1024,3
490,5,8,1823,128,1
490,7,2,3726,512,6
490,8,4,3485,256,11
490,9,8,3373,128,21
490,10,16,3389,64,42
490,11,32,3339,32,82
490,12,32,3349,32,82
490,13,32,3325,32,81
490,14,32,3332,32,81
490,15,32,3338,32,81
623,1,8,256,128,1
623,2,8,640,128,1
623,6,1,4736,1024,4
623,5,8,2073,128,1
623,7,2,4238,512,7
623,8,4,4253,256,14
623,9,8,4141,128,27
623,10,16,4093,64,53
623,11,32,4043,32,104
623,12,32,4053,32,104
623,13,32,4061,32,104
623,14,32,4036,32,103
623,15,32,4042,32,103
751,1,8,256,128,1
751,2,8,640,128,1
751,6,1,4736,1024,4
751,5,8,2323,128,1
751,7,2,4750,512,8
751,8,4,4765,256,16
751,9,8,4781,128,32
751,10,16,4797,64,64
751,11,32,4747,32,126
751,12,32,4757,32,126
751,13,32,4733,32,125
751,14,32,4740,32,125
751,15,32,4746,32,125
882,1,8,256,128,1
882,2,8,640,128,1
882,6,1,5760,1024,5
882,5,8,2573,128,1
882,7,2,5774,512,10
882,8,4,5533,256,19
882,9,8,5549,128,38
882,10,16,5437,64,74
882,11,32,5451,32,148
882,12,32,5429,32,147
882,13,32,5437,32,147
882,14,32,5444,32,147
882,15,32,5450,32,147
1010,1,8,256,128,1
1010,2,8,640,128,1
1010,6,1,6784,1024,6
1010,5,8,2823,128,1
1010,7,2,6286,512,11
1010,8,4,6301,256,22
1010,9,8,6189,128,43
1010,10,16,6141,64,85
1010,11,32,6123,32,169
1010,12,32,6133,32,169
1010,13,32,6141,32,169
1010,14,32,6116,32,168
1010,15,32,6122,32,168
1143,1,8,256,128,1
1143,2,8,640,128,1
1143,6,1,7808,1024,7
1143,5,8,3073,128,1
1143,7,2,7310,512,13
1143,8,4,7069,256,25
1143,9,8,6829,128,48
1143,10,16,6845,64,96
1143,11,32,6827,32,191
1143,12,32,6837,32,191
1143,13,32,6845,32,191
1143,14,32,6852,32,191
1143,15,32,6826,32,190
1271,1,8,256,128,1
1271,2,8,640,128,1
1271,6,1,7808,1024,7
1271,5,8,3323,128,1
1271,7,2,7822,512,14
1271,8,4,7581,256,27
1271,9,8,7597,128,54
1271,10,16,7549,64,107
1271,11,32,7531,32,213
1271,12,32,7541,32,213
1271,13,32,7517,32,212
1271,14,32,7524,32,212
1271,15,32,7530,32,212
1404,1,8,256,128,1
1404,2,8,640,128,1
1404,6,1,8832,1024,8
1404,5,8,3573,128,1
1404,7,2,8334,512,15
1404,8,4,8349,256,30
1404,9,8,8237,128,59
1404,10,16,8253,64,118
1404,11,32,8235,32,235
1404,12,32,8245,32,235
1404,13,32,8253,32,235
1404,14,32,8260,32,235
1404,15,32,8234,32,234
1532,1,8,256,128,1
1532,2,8,640,128,1
1532,6,1,9856,1024,9
1532,5,8,3823,128,1
1532,7,2,9358,512,17
1532,8,4,9117,256,33
1532,9,8,9005,128,65
1532,10,16,8957,64,129
1532,11,32,8907,32,256
1532,12,32,8917,32,256
1532,13,32,8925,32,256
1532,14,32,8932,32,256
1532,15,32,8906,32,255
1665,1,8,256,128,1
1665,2,8,640,128,1
1665,6,1,9856,1024,9
1665,5,8,4073,128,1
1665,7,2,9870,512,18
1665,8,4,9885,256,36
1665,9,8,9645,128,70
1665,10,16,9661,64,140
1665,11,32,9643,32,279
1665,12,32,9653,32,279
1665,13,32,9629,32,278
1665,14,32,9636,32,278
1665,15,32,9642,32,278
1793,1,8,256,128,1
1793,2,8,640,128,1
1793,6,1,10880,1024,10
1793,5,8,4323,128,1
1793,7,2,10382,512,19
1793,8,4,10397,256,38
1793,9,8,10413,128,76
1793,10,16,10365,64,151
1793,11,32,10315,32,300
1793,12,32,10325,32,300
1793,13,32,10333,32,300
1793,14,32,10340,32,300
1793,15,32,10314,32,299
1924,1,8,256,128,1
1924,2,8,640,128,1
1924,6,1,11904,1024,11
1924,5,8,4573,128,1
1924,7,2,11406,512,21
1924,8,4,11165,256,41
1924,9,8,11053,128,81
1924,10,16,11069,64,162
1924,11,32,11019,32,322
1924,12,32,11029,32,322
1924,13,32,11037,32,322
1924,14,32,11012,32,321
1924,15,32,11018,32,321
2057,1,8,256,128,1
2057,2,8,640,128,1
2057,6,1,11904,1024,11
2057,5,8,4823,128,1
2057,7,2,11918,512,22
2057,8,4,11933,256,44
2057,9,8,11821,128,87
2057,10,16,11773,64,173
2057,11,32,11723,32,344
2057,12,32,11733,32,344
2057,13,32,11741,32,344
2057,14,32,11748,32,344
2057,15,32,11754,32,344
2185,1,8,256,128,1
2185,2,8,640,128,1
2185,6,1,12928,1024,12
2185,5,8,5073,128,1
2185,7,2,12430,512,23
2185,8,4,12445,256,46
2185,9,8,12461,128,92
2185,10,16,12477,64,184
2185,11,32,12427,32,366
2185,12,32,12437,32,366
2185,13,32,12445,32,366
2185,14,32,12420,32,365
2185,15,32,12426,32,365
2318,1,8,256,128,1
2318,2,8,640,128,1
2318,6,1,13952,1024,13
2318,5,8,5323,128,1
2318,7,2,13454,512,25
2318,8,4,13213,256,49
2318,9,8,13229,128,98
2318,10,16,13181,64,195
2318,11,32,13131,32,388
2318,12,32,13141,32,388
2318,13,32,13149,32,388
2318,14,32,13124,32,387
2318,15,32,13130,32,387
2446,1,8,256,128,1
2446,2,8,640,128,1
2446,6,1,13952,1024,13
2446,5,8,5573,128,1
2446,7,2,13966,512,26
2446,8,4,13981,256,52
2446,9,8,13869,128,103
2446,10,16,13821,64,205
2446,11,32,13835,32,410
2446,12,32,13845,32,410
2446,13,32,13821,32,409
2446,14,32,13828,32,409
2446,15,32,13834,32,409
2579,1,8,256,128,1
2579,2,8,640,128,1
2579,6,1,14976,1024,14
2579,5,8,5823,128,1
2579,7,2,14990,512,28
2579,8,4,14749,256,55
2579,9,8,14637,128,109
2579,10,16,14525,64,216
2579,11,32,14539,32,432
2579,12,32,14549,32,432
2579,13,32,14525,32,431
2579,14,32,14532,32,431
2579,15,32,14538,32,431
2707,1,8,256,128,1
2707,2,8,640,128,1
2707,6,1,16000,1024,15
2707,5,8,6073,128,1
2707,7,2,15502,512,29
2707,8,4,15261,256,57
2707,9,8,15277,128,114
2707,10,16,15229,64,227
2707,11,32,15211,32,453
2707,12,32,15221,32,453
2707,13,32,15229,32,453
2707,14,32,15236,32,453
2707,15,32,15242,32,453
2707,16,8,14236,128,0
2707,17,8,14236,128,0
2707,18,8,14236,128,0
2707,19,8,14236,128,0
2707,20,8,14236,128,0
2707,21,8,14236,128,0
2877,1,8,256,128,1
2877,2,8,640,128,1
2877,6,1,16000,1024,15
2877,5,8,6351,128,2
2877,7,2,16014,512,30
2877,8,4,15517,256,58
2877,9,8,15533,128,116
2877,10,16,15549,64,232
2877,11,32,15531,32,463
2877,12,32,15541,32,463
2877,13,32,15517,32,462
2877,14,32,15524,32,462
2877,15,32,15530,32,462
2877,16,32,15520,32,40
2877,17,32,15523,32,40
2877,18,8,15526,128,10
2877,19,2,15785,512,3
2877,20,8,15532,128,10
2877,21,8,15535,128,10
3050,1,8,256,128,1
3050,2,8,640,128,1
3050,6,1,17024,1024,16
3050,5,8,6501,128,2
3050,7,2,16526,512,31
3050,8,4,16285,256,61
3050,9,8,16173,128,121
3050,10,16,16189,64,242
3050,11,32,16139,32,482
3050,12,32,16149,32,482
3050,13,32,16157,32,482
3050,14,32,16164,32,482
3050,15,32,16138,32,481
3050,16,32,16160,32,60
3050,17,32,16163,32,60
3050,18,8,16166,128,15
3050,19,2,16297,512,4
3050,20,8,16172,128,15
3050,21,8,16175,128,15
3221,1,8,256,128,1
3221,2,8,640,128,1
3221,6,1,17024,1024,16
3221,5,8,6651,128,2
3221,7,2,17038,512,32
3221,8,4,16797,256,63
3221,9,8,16813,128,126
3221,10,16,16829,64,252
3221,11,32,16779,32,502
3221,12,32,16789,32,502
3221,13,32,16797,32,502
3221,14,32,16772,32,501
3221,15,32,16778,32,501
3221,16,32,16768,32,79
3221,17,32,16771,32,79
3221,18,8,16806,128,20
3221,19,2,16809,512,5
3221,20,8,16812,128,20
3221,21,8,16815,128,20
3392,1,8,256,128,1
3392,2,8,640,128,1
3392,6,1,18048,1024,17
3392,5,8,6801,128,2
3392,7,2,17550,512,33
3392,8,4,17565,256,66
3392,9,8,17453,128,131
3392,10,16,17405,64,261
3392,11,32,17387,32,521
3392,12,32,17397,32,521
3392,13,32,17405,32,521
3392,14,32,17380,32,520
3392,15,32,17386,32,520
3392,16,32,17408,32,99
3392,17,32,17411,32,99
3392,18,8,17446,128,25
3392,19,2,17833,512,7
3392,20,8,17452,128,25
3392,21,8,17455,128,25
3563,1,8,256,128,1
3563,2,8,640,128,1
3563,6,1,18048,1024,17
3563,5,8,6951,128,2
3563,7,2,18062,512,34
3563,8,4,18077,256,68
3563,9,8,18093,128,136
3563,10,16,18045,64,271
3563,11,32,18027,32,541
3563,12,32,18037,32,541
3563,13,32,18013,32,540
3563,14,32,18020,32,540
3563,15,32,18026,32,540
3563,16,32,18016,32,118
3563,17,32,18019,32,118
3563,18,8,18086,128,30
3563,19,2,18345,512,8
3563,20,8,18092,128,30
3563,21,8,18095,128,30
3727,1,8,256,128,1
3727,2,8,640,128,1
3727,6,1,19072,1024,18
3727,5,8,7101,128,2
3727,7,2,19086,512,36
3727,8,4,18845,256,71
3727,9,8,18605,128,140
3727,10,16,18621,64,280
3727,11,32,18603,32,559
3727,12,32,18613,32,559
3727,13,32,18621,32,559
3727,14,32,18628,32,559
3727,15,32,18634,32,559
3727,16,32,18624,32,137
3727,17,32,18627,32,137
3727,18,8,18726,128,35
3727,19,2,18857,512,9
3727,20,8,18604,128,34
3727,21,8,18607,128,34
3898,1,8,256,128,1
3898,2,8,640,128,1
3898,6,1,20096,1024,19
3898,5,8,7251,128,2
3898,7,2,19598,512,37
3898,8,4,19357,256,73
3898,9,8,19245,128,145
3898,10,16,19261,64,290
3898,11,32,19243,32,579
3898,12,32,19253,32,579
3898,13,32,19261,32,579
3898,14,32,19236,32,578
3898,15,32,19242,32,578
3898,16,32,19264,32,157
3898,17,32,19235,32,156
3898,18,8,19238,128,39
3898,19,2,19369,512,10
3898,20,8,19244,128,39
3898,21,8,19247,128,39
4069,1,8,256,128,1
4069,2,8,640,128,1
4069,6,1,20096,1024,19
4069,5,8,7401,128,2
4069,7,2,20110,512,38
4069,8,4,19869,256,75
4069,9,8,19885,128,150
4069,10,16,19901,64,300
4069,11,32,19883,32,599
4069,12,32,19861,32,598
4069,13,32,19869,32,598
4069,14,32,19876,32,598
4069,15,32,19882,32,598
4069,16,32,19872,32,176
4069,17,32,19875,32,176
4069,18,8,19878,128,44
4069,19,2,19881,512,11
4069,20,8,19884,128,44
4069,21,8,19887,128,44
4240,1,8,256,128,1
4240,2,8,640,128,1
4240,6,1,21120,1024,20
4240,5,8,7551,128,2
4240,7,2,20622,512,39
4240,8,4,20637,256,78
4240,9,8,20525,128,155
4240,10,16,20541,64,310
4240,11,32,20491,32,618
4240,12,32,20501,32,618
4240,13,32,20477,32,617
4240,14,32,20484,32,617
4240,15,32,20490,32,617
4240,16,32,20480,32,195
4240,17,32,20483,32,195
4240,18,8,20518,128,49
4240,19,2,20905,512,13
4240,20,8,20524,128,49
4240,21,8,20527,128,49
4411,1,8,256,128,1
4411,2,8,640,128,1
4411,6,1,21120,1024,20
4411,5,8,7701,128,2
4411,7,2,21134,512,40
4411,8,4,21149,256,80
4411,9,8,21165,128,160
4411,10,16,21117,64,319
4411,11,32,21099,32,637
4411,12,32,21109,32,637
4411,13,32,21117,32,637
4411,14,32,21124,32,637
4411,15,32,21130,32,637
4411,16,32,21120,32,215
4411,17,32,21123,32,215
4411,18,8,21158,128,54
4411,19,2,21417,512,14
4411,20,8,21164,128,54
4411,21,8,21167,128,54
4582,1,8,256,128,1
4582,2,8,640,128,1
4582,6,1,22144,1024,21
4582,5,8,7851,128,2
4582,7,2,22158,512,42
4582,8,4,21917,256,83
4582,9,8,21805,128,165
4582,10,16,21757,64,329
4582,11,32,21739,32,657
4582,12,32,21717,32,656
4582,13,32,21725,32,656
4582,14,32,21732,32,656
4582,15,32,21738,32,656
4582,16,32,21728,32,234
4582,17,32,21731,32,234
4582,18,8,21798,128,59
4582,19,2,21929,512,15
4582,20,8,21804,128,59
4582,21,8,21807,128,59
4746,1,8,256,128,1
4746,2,8,640,128,1
4746,6,1,23168,1024,22
4746,5,8,8001,128,2
4746,7,2,22670,512,43
4746,8,4,22429,256,85
4746,9,8,22317,128,169
4746,10,16,22333,64,338
4746,11,32,22347,32,676
4746,12,32,22325,32,675
4746,13,32,22333,32,675
4746,14,32,22340,32,675
4746,15,32,22346,32,675
4746,16,32,22336,32,253
4746,17,32,22339,32,253
4746,18,8,22438,128,64
4746,19,2,22441,512,16
4746,20,8,22316,128,63
4746,21,8,22319,128,63
4917,1,8,256,128,1
4917,2,8,640,128,1
4917,6,1,23168,1024,22
4917,5,8,8151,128,2
4917,7,2,23182,512,44
4917,8,4,23197,256,88
4917,9,8,22957,128,174
4917,10,16,22973,64,348
4917,11,32,22955,32,695
4917,12,32,22965,32,695
4917,13,32,22973,32,695
4917,14,32,22948,32,694
4917,15,32,22954,32,694
4917,16,32,22976,32,273
4917,17,32,22979,32,273
4917,18,8,22950,128,68
4917,19,2,22953,512,17
4917,20,8,22956,128,68
4917,21,8,22959,128,68
5088,1,8,256,128,1
5088,2,8,640,128,1
5088,6,1,24192,1024,23
5088,5,8,8301,128,2
5088,7,2,23694,512,45
5088,8,4,23709,256,90
5088,9,8,23597,128,179
